Date,Value
2015-04-21,1201.09
2015-04-20,1199.18
2015-04-17,1204.69
2015-04-16,1206.8
2015-04-15,1197.28
2015-04-14,1198.68
2015-04-13,1209.0
2015-04-10,1207.7
2015-04-09,1198.98
2015-04-08,1210.7
2015-04-07,1214.11
2015-04-06,1224.23
2015-04-03,1204.69
2015-04-02,1204.69
2015-04-01,1195.38
2015-03-31,1188.97
2015-03-30,1185.16
2015-03-27,1203.19
2015-03-26,1206.7
2015-03-25,1200.99
2015-03-24,1195.68
2015-03-23,1187.06
2015-03-20,1175.14
2015-03-19,1167.13
2015-03-18,1151.6
2015-03-17,1148.1
2015-03-16,1158.62
2015-03-13,1159.87
2015-03-12,1161.42
2015-03-11,1161.87
2015-03-10,1169.13
2015-03-09,1173.64
2015-03-06,1184.16
2015-03-05,1206.2
2015-03-04,1207.2
2015-03-03,1211.1
2015-03-02,1217.72
2015-02-27,1212.41
2015-02-26,1216.91
2015-02-25,1208.2
2015-02-24,1199.68
2015-02-23,1201.49
2015-02-20,1211.5
2015-02-19,1216.91
2015-02-18,1210.5
2015-02-17,1223.93
2015-02-13,1232.74
2015-02-12,1228.93
2015-02-11,1236.75
2015-02-10,1238.25
2015-02-09,1241.26
2015-02-06,1244.76
2015-02-05,1265.0
2015-02-04,1269.1
2015-02-03,1269.2
2015-02-02,1271.31
2015-01-30,1264.8
2015-01-29,1273.31
2015-01-28,1289.34
2015-01-27,1289.34
2015-01-26,1287.33
2015-01-23,1299.85
2015-01-22,1302.06
2015-01-21,1304.66
2015-01-20,1289.14
2015-01-19,1279.82
2015-01-16,1271.31
2015-01-15,1255.98
2015-01-14,1242.26
2015-01-13,1242.26
2015-01-12,1225.83
2015-01-09,1216.11
2015-01-08,1215.21
2015-01-07,1215.31
2015-01-06,1212.21
2015-01-05,1198.38
2015-01-02,1174.24
2014-12-31,1199.68
2014-12-30,1199.68
2014-12-29,1195.68
2014-12-26,1200.39
2014-12-23,1179.65
2014-12-22,1197.68
2014-12-19,1200.19
2014-12-18,1204.99
2014-12-17,1200.69
2014-12-16,1213.11
2014-12-15,1213.01
2014-12-12,1222.72
2014-12-11,1221.12
2014-12-10,1231.24
2014-12-09,1220.72
2014-12-08,1199.89
2014-12-05,1198.68
2014-12-04,1212.51
2014-12-03,1205.9
2014-12-02,1203.49
2014-12-01,1185.26
2014-11-26,1201.59
2014-11-25,1199.89
2014-11-24,1200.59
2014-11-21,1207.0
2014-11-20,1196.08
2014-11-19,1200.59
2014-11-18,1199.18
2014-11-17,1187.66
2014-11-14,1151.6
2014-11-13,1166.53
2014-11-12,1167.73
2014-11-11,1159.32
2014-11-10,1169.13
2014-11-07,1155.51
2014-11-06,1146.8
2014-11-05,1146.59
2014-11-04,1170.13
2014-11-03,1172.74
2014-10-31,1166.83
2014-10-30,1208.5
2014-10-29,1226.13
2014-10-28,1237.05
2014-10-27,1233.74
2014-10-24,1235.65
2014-10-23,1237.15
2014-10-22,1246.16
2014-10-21,1255.28
2014-10-20,1246.86
2014-10-17,1240.75
2014-10-16,1240.95
2014-10-15,1239.25
2014-10-14,1238.25
2014-10-13,1230.24
2014-10-10,1224.83
2014-10-09,1230.14
2014-10-08,1220.22
2014-10-07,1211.3
2014-10-06,1200.69
2014-10-03,1204.19
2014-10-02,1218.72
2014-10-01,1216.41
2014-09-30,1216.71
2014-09-29,1223.12
2014-09-26,1219.22
2014-09-25,1212.41
2014-09-24,1220.92
2014-09-23,1228.53
2014-09-22,1216.91
2014-09-19,1227.73
2014-09-18,1223.73
2014-09-17,1240.75
2014-09-16,1239.35
2014-09-15,1238.25
2014-09-12,1237.75
2014-09-11,1247.77
2014-09-10,1252.17
2014-09-09,1256.78
2014-09-08,1267.5
2014-09-05,1269.8
2014-09-04,1270.81
2014-09-03,1269.5
2014-09-02,1271.31
2014-08-29,1290.34
2014-08-28,1294.65
2014-08-27,1288.84
2014-08-26,1291.24
2014-08-25,1280.22
2014-08-22,1282.02
2014-08-21,1279.52
2014-08-20,1298.75
2014-08-19,1302.36
2014-08-18,1299.85
2014-08-15,1298.85
2014-08-14,1315.18
2014-08-13,1315.88
2014-08-12,1318.09
2014-08-11,1310.67
2014-08-08,1313.38
2014-08-07,1307.37
2014-08-06,1308.37
2014-08-05,1290.54
2014-08-04,1296.35
2014-08-01,1296.65
2014-07-31,1291.34
2014-07-30,1298.35
2014-07-29,1311.67
2014-07-28,1305.87
2014-07-25,1296.85
2014-07-24,1301.36
2014-07-23,1308.87
2014-07-22,1315.88
2014-07-21,1318.59
2014-07-18,1311.88
2014-07-17,1306.97
2014-07-16,1301.76
2014-07-15,1311.37
2014-07-14,1307.87
2014-07-11,1338.42
2014-07-10,1343.53
2014-07-09,1327.2
2014-07-08,1325.7
2014-07-07,1317.08
2014-07-03,1319.39
2014-07-02,1329.41
2014-07-01,1330.41
2014-06-30,1316.38
2014-06-27,1321.49
2014-06-26,1320.39
2014-06-25,1319.19
2014-06-24,1324.6
2014-06-23,1316.88
2014-06-20,1313.58
2014-06-19,1290.94
2014-06-18,1273.41
2014-06-17,1267.8
2014-06-16,1280.12
2014-06-13,1275.51
2014-06-12,1268.8
2014-06-11,1266.3
2014-06-10,1264.19
2014-06-09,1256.78
2014-06-06,1258.79
2014-06-05,1254.08
2014-06-04,1249.77
2014-06-03,1247.77
2014-06-02,1250.07
2014-05-30,1257.78
2014-05-29,1256.78
2014-05-28,1266.8
2014-05-27,1279.82
2014-05-23,1295.35
2014-05-22,1303.06
2014-05-21,1293.84
2014-05-20,1291.64
2014-05-19,1304.36
2014-05-16,1293.84
2014-05-15,1299.85
2014-05-14,1307.87
2014-05-13,1299.35
2014-05-12,1304.56
2014-05-09,1293.34
2014-05-08,1292.14
2014-05-07,1306.07
2014-05-06,1310.47
2014-05-05,1316.38
2014-05-02,1287.83
2014-05-01,1280.82
2014-04-30,1292.84
2014-04-29,1298.85
2014-04-28,1305.87
2014-04-25,1302.86
2014-04-24,1277.82
2014-04-23,1287.83
2014-04-22,1290.84
2014-04-21,1293.84
2014-04-17,1304.86
2014-04-16,1306.87
2014-04-15,1296.65
2014-04-14,1327.9
2014-04-11,1321.89
2014-04-10,1321.39
2014-04-09,1306.87
2014-04-08,1312.88
2014-04-07,1300.16
2014-04-04,1302.86
2014-04-03,1287.53
2014-04-02,1295.35
2014-04-01,1287.53
2014-03-31,1295.35
2014-03-28,1293.34
2014-03-27,1300.36
2014-03-26,1312.88
2014-03-25,1315.38
2014-03-24,1320.39
2014-03-21,1341.43
2014-03-20,1328.1
2014-03-19,1347.54
2014-03-18,1355.45
2014-03-17,1380.09
2014-03-14,1387.0
2014-03-13,1370.47
2014-03-12,1367.47
2014-03-11,1351.94
2014-03-10,1340.32
2014-03-07,1338.42
2014-03-06,1344.13
2014-03-05,1339.92
2014-03-04,1336.92
2014-03-03,1348.94
2014-02-28,1333.21
2014-02-27,1334.41
2014-02-26,1336.92
2014-02-25,1337.92
2014-02-24,1337.42
2014-02-21,1325.4
2014-02-20,1318.89
2014-02-19,1322.39
2014-02-18,1324.9
2014-02-14,1321.39
2014-02-13,1296.85
2014-02-12,1293.84
2014-02-11,1281.52
2014-02-10,1277.82
2014-02-07,1261.79
2014-02-06,1264.19
2014-02-05,1265.8
2014-02-04,1251.77
2014-02-03,1251.27
2014-01-31,1253.98
2014-01-30,1242.76
2014-01-29,1269.8
2014-01-28,1261.49
2014-01-27,1265.6
2014-01-24,1270.3
2014-01-23,1258.28
2014-01-22,1243.26
2014-01-21,1239.75
2014-01-20,1259.19
2014-01-17,1252.37
2014-01-16,1245.86
2014-01-15,1239.75
2014-01-14,1251.77
2014-01-13,1249.77
2014-01-10,1245.16
2014-01-09,1227.23
2014-01-08,1225.53
2014-01-07,1234.94
2014-01-06,1243.16
2014-01-03,1233.04
2014-01-02,1226.73
2013-12-31,1189.17
2013-12-30,1209.7
